Date,Views,Average percentage viewed (%),Unique viewers,Subscribers,Watch time (hours),Average view duration,Shares,Likes,Dislikes,Comments added,Impressions,Impressions click-through rate (%),Day of Week
3/8/21,369,16.64,302,1,17.628,171,1,4,0,0.0,2429,7.74,Monday
3/9/21,406,17.52,325,5,21.2236,188,2,4,0,0.0,2752,7.3,Tuesday
3/10/21,387,19.88,319,1,22.1984,206,1,9,0,1.0,2813,7.5,Wednesday
3/11/21,412,19.44,307,5,23.6677,206,1,8,1,0.0,3221,6.64,Thursday
3/12/21,357,16.3,267,2,17.6889,178,2,0,1,0.0,2500,7.04,Friday
3/13/21,305,17.95,247,0,16.4588,194,0,1,1,0.0,2780,5.97,Saturday
3/14/21,344,17.7,282,1,17.9555,187,0,3,0,0.0,2537,7.21,Sunday
3/15/21,361,18.4,286,3,20.2785,202,1,5,0,1.0,2751,6.54,Monday
3/16/21,345,17.9,283,5,16.9877,177,0,6,0,0.0,2840,6.37,Tuesday
3/17/21,411,15.72,323,5,18.4987,162,2,8,0,0.0,2995,6.58,Wednesday
3/18/21,377,19.68,304,1,20.6038,196,4,3,0,1.0,3093,6.66,Thursday
3/19/21,316,16.15,245,1,14.1151,160,2,2,0,0.0,2428,7.33,Friday
3/20/21,279,19.55,234,0,15.0562,194,3,2,1,0.0,2551,6.04,Saturday
3/21/21,308,19.66,239,1,17.1069,199,0,1,0,0.0,2933,6.0,Sunday
3/22/21,433,19.58,338,2,24.7483,205,32,5,0,0.0,3066,7.4,Monday
3/23/21,409,20.26,334,1,23.3079,205,4,4,0,1.0,2456,8.22,Tuesday
3/24/21,378,16.95,295,0,18.7895,178,1,3,0,1.0,2826,7.08,Wednesday
3/25/21,336,18.33,289,1,17.8596,191,3,4,0,0.0,2509,7.45,Thursday
3/26/21,353,21.4,279,0,21.6572,220,0,7,1,0.0,2673,7.0,Friday
3/27/21,303,20.97,243,0,17.6373,209,3,6,0,0.0,2170,7.28,Saturday
3/28/21,339,16.79,278,0,16.5142,175,3,4,0,0.0,2299,7.92,Sunday
3/29/21,409,19.28,320,4,23.537,207,3,9,0,1.0,3072,6.58,Monday
3/30/21,389,17.69,322,3,19.221,177,0,6,0,1.0,2327,8.47,Tuesday
3/31/21,286,17.8,246,5,15.7287,197,0,4,0,0.0,2294,7.24,Wednesday
4/1/21,319,22.12,266,1,20.6591,233,2,5,0,0.0,2617,6.76,Thursday
4/2/21,275,18.72,230,1,15.4214,201,0,1,0,1.0,1785,7.62,Friday
4/3/21,292,20.6,241,2,16.9793,209,4,5,0,0.0,1967,7.07,Saturday
4/4/21,281,22.07,216,4,16.7179,214,2,6,0,0.0,2133,6.75,Sunday
4/5/21,348,18.95,267,1,20.149,208,4,6,0,0.0,2456,6.8,Monday
4/6/21,369,20.31,301,0,21.2101,206,1,8,0,1.0,2998,6.14,Tuesday
4/7/21,361,17.12,289,1,17.2957,172,0,5,0,0.0,2745,7.25,Wednesday
4/8/21,350,20.45,286,0,20.5121,210,0,5,1,0.0,2319,7.89,Thursday
4/9/21,262,15.74,224,-1,12.0735,165,0,3,0,2.0,2770,4.58,Friday
4/10/21,290,20.41,235,-1,16.5778,205,3,8,0,1.0,2070,7.44,Saturday
4/11/21,331,19.06,274,1,19.2537,209,6,6,0,2.0,2675,6.28,Sunday
4/12/21,353,18.62,289,-1,18.262,186,17,5,0,3.0,3263,5.82,Monday
4/13/21,325,18.82,272,1,18.7449,207,1,7,0,1.0,2485,6.64,Tuesday
4/14/21,359,18.81,300,1,20.0529,201,1,11,0,4.0,2456,7.49,Wednesday
4/15/21,366,20.28,305,1,20.7775,204,4,5,1,0.0,2244,8.11,Thursday
4/16/21,323,18.9,260,2,16.7928,187,1,4,0,1.0,2246,6.63,Friday
4/17/21,268,22.56,210,2,17.6817,237,2,4,0,0.0,2603,5.57,Saturday
4/18/21,323,16.79,254,1,15.5765,173,6,6,0,0.0,2074,8.82,Sunday
4/19/21,391,17.47,295,2,20.6606,190,0,5,1,1.0,3352,6.53,Monday
4/20/21,346,19.94,283,3,19.7509,205,3,7,1,0.0,2520,6.9,Tuesday
4/21/21,327,19.22,265,2,17.2241,189,2,2,0,4.0,2646,6.16,Wednesday
4/22/21,359,18.08,284,0,19.3649,194,9,7,0,0.0,2635,6.68,Thursday
4/23/21,347,17.84,266,0,18.2304,189,0,8,0,3.0,2421,8.18,Friday
4/24/21,367,18.13,277,1,18.9454,185,1,5,1,2.0,2527,7.4,Saturday
4/25/21,352,17.87,299,3,19.4057,198,3,7,0,1.0,2438,7.67,Sunday
4/26/21,373,18.54,294,2,19.5239,188,5,8,-1,0.0,2586,7.08,Monday
4/27/21,411,20.29,321,3,22.4625,196,7,5,0,2.0,2757,6.6,Tuesday
4/28/21,469,19.53,387,4,26.2929,201,2,13,1,1.0,3029,8.06,Wednesday
4/29/21,401,21.96,296,1,24.6779,221,0,5,0,0.0,2602,7.15,Thursday
4/30/21,343,19.76,290,2,19.6393,206,6,11,3,1.0,2365,7.1,Friday
5/1/21,324,19.92,270,1,18.7785,208,3,7,0,2.0,1980,7.42,Saturday
5/2/21,348,18.42,277,3,19.1604,198,0,11,0,0.0,2088,8.24,Sunday
5/3/21,399,19.95,312,3,23.7533,214,3,8,0,0.0,2697,7.38,Monday
5/4/21,444,22.94,331,1,30.2248,245,1,10,0,0.0,3102,7.54,Tuesday
5/5/21,479,21.47,395,9,29.7371,223,4,12,0,0.0,3398,7.45,Wednesday
5/6/21,431,18.41,353,3,23.0935,192,0,5,0,0.0,2768,7.95,Thursday
5/7/21,403,19.86,306,1,23.9729,214,3,6,1,1.0,2751,7.89,Friday
5/8/21,313,22.45,261,1,20.687,237,0,3,1,1.0,2442,7.86,Saturday
5/9/21,391,19.4,311,4,22.239,204,1,1,0,1.0,3286,6.36,Sunday
5/10/21,494,20.6,397,4,29.69,216,1,12,0,0.0,3300,7.61,Monday
5/11/21,431,21.08,354,2,26.708,223,2,11,0,1.0,2765,7.81,Tuesday
5/12/21,454,17.44,341,4,23.0963,183,2,11,0,0.0,3073,7.22,Wednesday
5/13/21,392,17.62,304,0,20.7868,190,3,7,0,1.0,2468,7.9,Thursday
5/14/21,411,18.5,320,3,21.505,188,1,6,0,0.0,2460,8.54,Friday
5/15/21,371,19.64,302,2,20.3963,197,3,9,0,0.0,2613,6.81,Saturday
5/16/21,424,17.48,318,1,21.4617,182,3,6,0,1.0,2666,8.29,Sunday
5/17/21,454,17.61,371,2,23.4577,186,0,5,1,0.0,3050,7.8,Monday
5/18/21,409,17.74,342,4,21.4807,189,0,9,1,0.0,2864,6.88,Tuesday
5/19/21,478,18.74,392,1,26.6782,200,2,5,0,2.0,3068,7.63,Wednesday
5/20/21,434,19.53,349,3,24.4544,202,1,7,0,1.0,2922,7.8,Thursday
5/21/21,377,16.98,311,3,18.2597,174,2,10,0,0.0,2901,6.83,Friday
5/22/21,417,18.98,309,2,22.3141,192,0,3,0,0.0,2763,8.22,Saturday
5/23/21,397,16.18,308,1,18.6719,169,4,6,0,0.0,2674,8.0,Sunday
5/24/21,397,19.45,331,2,23.0361,208,1,6,0,0.0,2990,7.49,Monday
5/25/21,429,20.19,346,3,24.7604,207,0,8,1,1.0,3384,6.94,Tuesday
5/26/21,422,16.67,325,2,19.5158,166,3,3,0,1.0,3227,6.29,Wednesday
5/27/21,446,17.3,356,1,22.705,183,4,13,0,1.0,3059,8.01,Thursday
5/28/21,346,23.61,294,2,23.2924,242,1,6,0,1.0,3153,5.96,Friday
5/29/21,405,17.03,333,1,20.5704,182,2,4,1,1.0,2831,7.91,Saturday
5/30/21,363,18.38,295,3,19.7598,195,5,2,0,0.0,2833,6.49,Sunday
5/31/21,406,22.48,325,2,26.78,237,4,6,0,0.0,3100,6.74,Monday
6/1/21,458,20.31,381,3,26.3614,207,3,11,0,1.0,2992,8.26,Tuesday
6/2/21,395,19.93,345,2,23.3056,212,5,6,1,0.0,3022,7.02,Wednesday
6/3/21,355,20.31,305,4,20.3073,205,1,6,0,1.0,3194,6.36,Thursday
6/4/21,364,17.91,291,4,17.8176,176,2,8,1,0.0,2559,6.92,Friday
6/5/21,349,21.53,274,2,21.0202,216,3,4,0,0.0,2493,7.78,Saturday
6/6/21,392,18.71,274,3,21.7418,199,2,5,0,2.0,3037,6.29,Sunday
6/7/21,419,16.95,338,2,20.7004,177,2,7,0,1.0,3025,6.81,Monday
6/8/21,390,21.99,310,5,24.2477,223,1,8,0,1.0,3364,5.74,Tuesday
6/9/21,422,18.0,341,0,23.2704,198,8,3,0,0.0,2747,8.52,Wednesday
6/10/21,364,19.4,313,1,20.2565,200,0,6,0,3.0,2542,7.12,Thursday
6/11/21,327,17.61,261,0,16.9486,186,1,2,0,1.0,2512,7.17,Friday
6/12/21,301,17.16,243,1,15.3246,183,1,10,0,1.0,2146,6.94,Saturday
6/13/21,391,19.8,307,0,22.2195,204,1,10,0,3.0,2728,7.7,Sunday
6/14/21,405,16.88,324,1,20.9577,186,2,7,0,3.0,3111,6.56,Monday
6/15/21,470,23.29,344,4,32.2534,247,1,5,0,0.0,3206,8.33,Tuesday
6/16/21,411,21.78,336,5,26.0401,228,2,6,0,1.0,2824,7.08,Wednesday
6/17/21,411,18.91,323,2,22.682,198,2,7,0,1.0,3110,7.01,Thursday
6/18/21,321,19.19,270,1,17.8,199,1,6,0,2.0,2547,7.03,Friday
6/19/21,311,17.8,260,1,16.8745,195,3,11,0,0.0,2450,7.51,Saturday
6/20/21,339,18.27,257,2,19.062,202,0,7,0,0.0,2300,7.7,Sunday
6/21/21,378,19.05,307,3,20.5706,195,1,10,1,1.0,3382,6.39,Monday
6/22/21,382,19.69,312,3,22.3649,210,1,10,0,0.0,3051,7.01,Tuesday
6/23/21,317,20.89,272,1,19.0608,216,1,4,1,1.0,2403,6.95,Wednesday
6/24/21,361,19.33,304,2,20.4123,203,1,6,0,0.0,2757,7.04,Thursday
6/25/21,279,19.48,238,1,16.5665,213,3,7,0,1.0,2123,6.5,Friday
6/26/21,261,20.67,202,4,16.3063,224,0,3,0,0.0,2482,6.33,Saturday
6/27/21,295,21.4,230,3,18.5762,226,2,9,0,1.0,2767,5.49,Sunday
6/28/21,347,16.22,286,2,17.4783,181,2,5,0,0.0,2655,7.12,Monday
6/29/21,344,21.08,281,3,22.0897,231,1,7,0,2.0,2539,6.62,Tuesday
6/30/21,349,19.75,278,4,20.0377,206,3,8,0,0.0,2876,6.05,Wednesday
7/1/21,358,19.93,282,0,22.2144,223,2,4,1,3.0,2627,6.78,Thursday
7/2/21,389,19.73,300,3,22.3593,206,2,10,0,1.0,2715,7.22,Friday
7/3/21,336,20.02,242,1,22.3406,239,2,6,0,0.0,3305,4.93,Saturday
7/4/21,362,23.88,285,4,28.408,282,2,5,0,0.0,2671,6.51,Sunday
7/5/21,359,17.5,301,4,19.1438,191,0,10,1,1.0,2873,6.13,Monday
7/6/21,364,19.86,304,1,21.8382,215,2,5,0,0.0,2729,6.74,Tuesday
7/7/21,341,16.76,284,1,16.7127,176,0,10,1,1.0,2530,6.21,Wednesday
7/8/21,353,19.27,296,3,19.8831,202,1,6,0,2.0,2424,7.05,Thursday
7/9/21,320,17.64,247,0,16.8519,189,2,3,0,2.0,2469,6.44,Friday
7/10/21,284,18.67,217,2,16.3694,207,2,2,1,2.0,1979,6.72,Saturday
7/11/21,314,18.58,263,1,16.9846,194,0,9,0,2.0,2005,7.83,Sunday
7/12/21,333,15.47,292,2,15.9076,171,1,4,1,1.0,2488,6.19,Monday
7/13/21,317,21.29,260,1,21.6762,246,2,4,0,2.0,2723,5.29,Tuesday
7/14/21,325,16.22,270,1,15.6697,173,0,4,1,0.0,2429,5.97,Wednesday
7/15/21,356,20.54,301,3,22.5339,227,0,3,1,0.0,2632,6.46,Thursday
7/16/21,333,21.3,271,2,21.2167,229,2,5,1,0.0,2321,6.68,Friday
7/17/21,296,18.17,233,0,15.3041,186,2,4,0,0.0,2252,6.66,Saturday
7/18/21,277,19.18,226,1,15.4481,200,2,3,0,0.0,1877,6.66,Sunday
7/19/21,376,19.94,297,3,22.7171,217,2,5,0,0.0,2946,6.75,Monday
7/20/21,336,21.78,269,4,22.2417,238,4,8,0,1.0,2461,6.83,Tuesday
7/21/21,362,19.0,289,1,20.7315,206,0,8,1,1.0,2403,6.91,Wednesday
7/22/21,320,17.75,268,4,17.7345,199,1,7,0,0.0,2281,6.93,Thursday
7/23/21,285,16.86,223,3,14.2413,179,2,6,0,0.0,2109,6.02,Friday
7/24/21,312,18.72,252,2,16.9737,195,0,5,0,0.0,2334,6.38,Saturday
7/25/21,350,18.06,255,0,18.1667,186,2,2,0,1.0,2495,6.05,Sunday
7/26/21,367,21.68,291,4,22.0476,216,1,4,1,0.0,2828,5.48,Monday
7/27/21,398,19.49,328,3,22.297,201,1,9,1,0.0,3090,6.93,Tuesday
7/28/21,398,18.29,307,4,22.7215,205,1,9,1,1.0,3133,6.16,Wednesday
7/29/21,366,16.87,293,3,19.3039,189,1,4,0,2.0,2669,7.12,Thursday
7/30/21,305,20.23,252,4,18.7836,221,1,7,0,0.0,2150,6.74,Friday
7/31/21,290,20.1,230,1,16.6975,207,1,7,1,0.0,2325,6.58,Saturday
8/1/21,292,17.64,235,1,14.9567,184,0,5,0,1.0,2054,7.01,Sunday
8/2/21,324,20.88,268,1,20.3618,226,0,6,1,0.0,2771,5.7,Monday
8/3/21,319,20.1,272,0,19.2021,216,2,7,0,2.0,2586,6.11,Tuesday
8/4/21,375,18.65,298,3,20.1401,193,3,8,0,1.0,2658,7.04,Wednesday
8/5/21,368,18.76,295,3,20.4591,200,2,9,0,1.0,2610,7.13,Thursday
8/6/21,290,19.7,246,2,16.3502,202,4,8,0,1.0,2319,6.3,Friday
8/7/21,311,18.82,233,2,17.4775,202,3,6,0,1.0,2706,5.43,Saturday
8/8/21,312,17.19,244,1,16.0309,184,3,6,0,1.0,2435,6.24,Sunday
8/9/21,394,21.55,325,4,24.5051,223,2,7,0,0.0,2945,6.83,Monday
8/10/21,374,17.98,309,2,19.9587,192,2,6,1,0.0,2790,6.09,Tuesday
8/11/21,394,21.16,299,1,24.5749,224,7,10,0,1.0,3073,6.02,Wednesday
8/12/21,351,18.74,286,3,19.7526,202,1,7,0,1.0,2761,5.29,Thursday
8/13/21,362,19.93,275,3,20.476,203,5,8,0,0.0,2774,6.02,Friday
8/14/21,354,19.57,275,3,20.0223,203,3,13,0,1.0,2910,6.15,Saturday
8/15/21,313,18.5,251,5,16.4267,188,0,6,1,1.0,2656,5.35,Sunday
8/16/21,450,15.04,362,4,18.9384,151,2,9,0,1.0,2943,6.66,Monday
8/17/21,358,19.76,291,0,20.3366,204,1,6,0,0.0,2705,6.06,Tuesday
8/18/21,414,20.18,345,-1,23.7147,206,1,5,1,2.0,3112,5.94,Wednesday
8/19/21,423,18.75,325,3,22.7568,193,1,5,0,0.0,2760,6.7,Thursday
8/20/21,365,17.28,296,2,18.5175,182,1,9,0,2.0,2666,7.2,Friday
8/21/21,319,15.79,247,4,13.7719,155,0,4,0,2.0,2644,5.52,Saturday
8/22/21,335,18.87,272,2,17.2599,185,5,4,0,1.0,2347,6.52,Sunday
8/23/21,370,18.57,311,4,18.922,184,2,6,0,0.0,2580,6.55,Monday
8/24/21,481,18.14,372,3,25.3486,189,1,9,0,2.0,3150,6.92,Tuesday
8/25/21,427,20.06,342,2,24.045,202,1,7,0,0.0,2899,6.52,Wednesday
8/26/21,435,15.85,341,4,20.0484,165,2,6,0,1.0,3123,6.37,Thursday
8/27/21,348,19.1,288,0,19.7001,203,2,5,0,0.0,2383,7.43,Friday
8/28/21,314,17.29,252,4,16.4323,188,3,9,1,1.0,2343,5.89,Saturday
8/29/21,361,17.07,282,2,18.9188,188,2,6,0,2.0,2536,7.1,Sunday
8/30/21,426,19.26,359,0,25.041,211,1,3,0,0.0,2923,7.32,Monday
8/31/21,422,20.61,339,7,25.0002,213,1,6,0,1.0,3988,4.81,Tuesday
9/1/21,413,17.66,336,1,21.5046,187,10,7,0,2.0,3185,5.97,Wednesday
9/2/21,485,23.79,378,2,33.831,251,0,17,1,0.0,3186,6.91,Thursday
9/3/21,388,18.7,311,2,21.6215,200,5,11,2,1.0,2620,6.53,Friday
9/4/21,332,16.47,277,2,16.1406,175,1,7,0,0.0,2365,6.51,Saturday
9/5/21,421,20.06,342,2,25.1115,214,5,6,0,0.0,2787,6.6,Sunday
9/6/21,550,19.82,431,1,31.6771,207,3,8,0,0.0,3456,7.67,Monday
9/7/21,437,19.91,355,4,25.9258,213,4,6,0,0.0,3101,6.03,Tuesday
9/8/21,494,20.14,399,1,28.5319,207,3,6,0,0.0,3297,7.13,Wednesday
9/9/21,467,17.63,354,6,24.1287,186,0,9,0,1.0,3117,5.97,Thursday
9/10/21,416,21.58,342,2,25.9673,224,7,11,0,0.0,3475,5.5,Friday
9/11/21,408,18.22,332,2,22.1074,195,2,6,1,0.0,2681,6.23,Saturday
9/12/21,509,22.69,421,1,36.3379,257,2,4,1,1.0,3434,6.99,Sunday
9/13/21,590,22.79,462,1,43.9517,268,0,8,0,1.0,3982,6.65,Monday
9/14/21,450,16.69,370,3,22.0498,176,2,5,0,1.0,2962,6.21,Tuesday
9/15/21,442,20.02,360,5,25.6912,209,1,11,0,1.0,2731,7.18,Wednesday
9/16/21,460,22.24,377,0,29.3065,229,2,8,1,0.0,3482,6.26,Thursday
9/17/21,475,20.37,360,5,28.0359,212,2,9,0,2.0,3030,6.77,Friday
9/18/21,423,19.69,315,1,26.5767,226,0,2,1,2.0,2762,7.31,Saturday
9/19/21,533,18.64,406,2,30.3722,205,4,7,0,0.0,3313,7.3,Sunday
9/20/21,573,20.1,436,0,34.6827,217,3,8,1,0.0,3553,6.87,Monday
9/21/21,562,18.29,410,2,31.9984,204,4,8,0,0.0,3633,6.0,Tuesday
9/22/21,518,18.27,400,3,29.931,208,3,11,0,1.0,3729,6.57,Wednesday
9/23/21,519,17.44,406,6,27.7226,192,5,8,0,5.0,3521,6.62,Thursday
9/24/21,426,17.87,364,5,22.819,192,2,15,1,1.0,2895,6.98,Friday
9/25/21,427,20.72,331,4,26.8134,226,0,8,0,3.0,2332,8.19,Saturday
9/26/21,437,18.81,364,4,24.3746,200,6,5,1,0.0,2815,6.79,Sunday
9/27/21,489,17.51,388,0,26.9214,198,8,7,0,0.0,3295,6.22,Monday
9/28/21,485,16.27,385,3,23.1772,172,0,4,2,1.0,3455,6.19,Tuesday
9/29/21,511,17.43,423,3,25.9594,182,7,3,0,0.0,2946,8.01,Wednesday
9/30/21,518,20.41,411,0,31.8943,221,4,10,0,1.0,3057,6.74,Thursday
10/1/21,506,18.58,394,4,29.1657,207,1,12,0,0.0,2842,7.74,Friday
10/2/21,457,19.93,339,3,26.835,211,0,8,0,2.0,3010,6.25,Saturday
10/3/21,523,19.99,398,2,32.2841,222,3,10,0,0.0,3087,6.12,Sunday
10/4/21,613,20.67,480,6,37.621,220,4,10,0,0.0,3725,5.66,Monday
10/5/21,551,17.62,465,1,30.3548,198,1,15,0,1.0,3461,6.21,Tuesday
10/6/21,551,17.98,445,1,31.1109,203,2,6,3,1.0,3662,5.93,Wednesday
10/7/21,574,20.2,459,2,33.8807,212,7,8,1,0.0,3773,6.65,Thursday
10/8/21,464,17.11,384,0,23.6878,183,8,9,1,0.0,2970,7.0,Friday
10/9/21,471,21.71,377,4,30.482,232,4,11,0,0.0,3239,6.79,Saturday
10/10/21,504,19.13,411,5,27.926,199,3,11,0,2.0,3491,6.22,Sunday
10/11/21,512,16.88,420,0,26.1673,183,7,7,1,0.0,3400,7.09,Monday
10/12/21,594,19.02,470,2,34.6544,210,7,11,1,0.0,4017,5.6,Tuesday
10/13/21,560,18.34,461,3,32.2766,207,4,5,0,0.0,4242,5.61,Wednesday
10/14/21,483,17.62,390,3,25.9665,193,4,16,0,0.0,3411,6.16,Thursday
10/15/21,413,17.69,345,5,21.5658,187,8,7,1,2.0,2749,6.22,Friday
10/16/21,440,18.37,367,0,23.3789,191,2,6,0,0.0,2849,6.6,Saturday
10/17/21,528,18.94,430,7,30.6259,208,1,7,0,0.0,3155,6.85,Sunday
10/18/21,561,18.78,444,-1,32.1184,206,4,9,0,0.0,3871,5.76,Monday
10/19/21,547,18.22,452,1,28.9254,190,1,14,1,0.0,3358,6.85,Tuesday
10/20/21,574,18.48,461,6,31.0348,194,1,10,0,1.0,3643,7.19,Wednesday
10/21/21,541,17.27,445,2,27.5575,183,2,4,1,2.0,3355,7.12,Thursday
10/22/21,484,19.34,408,5,26.804,199,2,10,0,1.0,3199,6.6,Friday
10/23/21,436,18.68,366,1,23.744,196,5,10,1,2.0,2906,6.26,Saturday
10/24/21,541,16.5,447,4,26.1898,174,1,4,0,0.0,3456,6.39,Sunday
10/25/21,622,17.65,522,1,31.2571,180,5,14,1,1.0,3940,6.45,Monday
10/26/21,678,18.79,548,3,38.4686,204,0,12,0,1.0,3900,7.41,Tuesday
10/27/21,635,18.13,504,7,34.2957,194,2,13,1,1.0,3973,6.82,Wednesday
10/28/21,661,16.7,533,2,32.5558,177,3,11,0,2.0,3582,7.37,Thursday
10/29/21,620,16.72,481,1,31.0159,180,2,7,0,0.0,3708,6.8,Friday
10/30/21,451,17.08,347,0,23.4626,187,3,4,0,0.0,2890,6.33,Saturday
10/31/21,490,17.24,375,2,25.4479,186,1,9,0,1.0,3342,6.31,Sunday
11/1/21,557,16.34,461,5,27.2502,176,2,10,0,0.0,3483,6.75,Monday
11/2/21,625,16.85,512,4,30.6464,176,3,8,0,0.0,4352,5.77,Tuesday
11/3/21,628,19.03,494,5,37.163,213,5,10,2,1.0,3723,6.74,Wednesday
11/4/21,611,16.61,466,5,30.6508,180,10,10,0,0.0,3351,7.25,Thursday
11/5/21,499,19.38,414,3,30.201,217,3,8,0,1.0,3171,6.72,Friday
11/6/21,515,19.16,414,2,30.3857,212,2,6,0,1.0,3652,6.3,Saturday
11/7/21,611,17.55,497,0,32.306,190,8,7,0,1.0,3641,6.04,Sunday
11/8/21,675,16.99,517,4,34.1471,182,4,8,0,6.0,4877,6.11,Monday
11/9/21,634,15.82,515,0,28.5301,162,8,6,0,2.0,4259,6.34,Tuesday
11/10/21,632,17.07,493,3,31.0955,177,1,11,0,0.0,4551,6.06,Wednesday
11/11/21,557,18.67,457,3,28.9391,187,8,10,0,0.0,4007,5.89,Thursday
11/12/21,583,18.01,477,4,31.0282,191,9,9,0,1.0,3690,6.61,Friday
11/13/21,516,19.33,407,1,29.5657,206,1,9,1,0.0,3851,6.23,Saturday
11/14/21,611,19.84,476,3,37.1188,218,2,9,0,0.0,3952,6.3,Sunday
11/15/21,667,16.83,535,4,33.8255,182,2,9,0,0.0,4624,5.97,Monday
11/16/21,629,14.66,521,3,27.1176,155,0,8,0,0.0,4066,6.91,Tuesday
11/17/21,575,17.25,479,2,29.4597,184,1,7,1,1.0,3584,6.58,Wednesday
11/18/21,597,18.03,484,4,31.1501,187,8,11,1,0.0,3743,6.39,Thursday
11/19/21,526,17.25,443,4,26.3754,180,1,9,0,0.0,3100,6.87,Friday
11/20/21,493,15.95,409,-1,22.7176,165,2,8,0,0.0,2828,7.85,Saturday
11/21/21,550,16.13,457,2,25.1943,164,2,7,1,1.0,3386,7.65,Sunday
11/22/21,652,15.42,542,2,30.3876,167,10,8,0,3.0,4300,6.44,Monday
11/23/21,641,16.26,522,2,30.794,172,3,7,0,1.0,3825,7.35,Tuesday
11/24/21,651,17.59,532,0,34.4752,190,1,7,0,0.0,3794,7.2,Wednesday
11/25/21,555,15.01,474,7,24.1257,156,4,9,0,0.0,3528,6.63,Thursday
11/26/21,519,17.32,436,2,26.7524,185,1,8,0,0.0,2879,7.16,Friday
11/27/21,502,14.86,404,4,22.3542,160,4,8,1,0.0,3048,7.48,Saturday
11/28/21,640,17.37,508,3,32.8268,184,6,16,1,0.0,3838,7.53,Sunday
11/29/21,608,16.63,505,4,29.7751,176,4,5,0,1.0,3848,6.86,Monday
11/30/21,691,16.3,559,3,33.2773,173,8,14,0,3.0,3815,7.92,Tuesday
12/1/21,595,16.5,488,2,28.4771,172,7,5,0,0.0,3734,7.1,Wednesday
12/2/21,604,18.62,500,7,33.3457,198,2,5,0,1.0,3454,7.3,Thursday
12/3/21,544,20.04,443,3,33.0983,219,0,6,2,1.0,3579,6.29,Friday
12/4/21,502,18.85,390,1,28.0412,201,3,4,0,0.0,3154,7.45,Saturday
12/5/21,572,16.49,454,3,28.6887,180,6,9,0,0.0,3472,7.29,Sunday
12/6/21,604,18.71,480,2,33.746,201,3,8,0,0.0,4386,6.25,Monday
12/7/21,650,18.73,507,5,36.6839,203,2,9,1,0.0,4277,6.48,Tuesday
12/8/21,650,20.22,525,0,39.8063,220,5,4,0,1.0,3966,7.19,Wednesday
12/9/21,620,18.26,500,0,34.6852,201,3,3,0,0.0,3518,7.31,Thursday
12/10/21,507,17.73,413,1,27.466,195,4,4,0,1.0,3079,7.21,Friday
12/11/21,541,15.82,444,2,26.3045,175,2,6,0,0.0,3437,7.16,Saturday
12/12/21,627,16.08,503,1,29.8991,171,1,7,0,0.0,3962,7.85,Sunday
12/13/21,697,17.64,528,3,37.4442,193,2,3,0,1.0,4362,7.08,Monday
12/14/21,593,18.66,462,3,34.2998,208,8,15,0,0.0,4049,6.08,Tuesday
12/15/21,580,17.01,474,3,29.594,183,6,8,0,2.0,4013,5.91,Wednesday
